source,model,point,block,name,description,longdescription,dtype,unit,category,meanings,labels
ss40k_inverter,40101,pfLoadTot,fixed,pfLoadTot,Load power factor,Overall power factor of the loads (unitless). Data code: 40101.pfLoadTot,int16,N/A,Load,,Level of Detail: Complete; Equipment: Inverter; Component: Building Load; Type of Data: Readings
ss40k_inverter,40101,iLoadTot,fixed,iLoadTot,Load current,Sum of RMS currents across active load phases.  Data code: 40101.iLoadTot,uint32,A,Load,,Level of Detail: Complete; Equipment: Inverter; Component: Building Load; Type of Data: Readings; Unit: Current
ss40k_inverter,40101,vLoadLL,fixed,vLoadLL,Voltage load LL,Line-to-line RMS voltage measured at the load connection. Data code: 40101.vLoadLL,uint16,V,Load,,Level of Detail: Complete; Equipment: Inverter; Component: Building Load; Type of Data: Readings; Unit: Volt
ss40k_inverter,40101,vLoadLN,fixed,vLoadLN,Voltage load LN,Line-to-neutral RMS voltage measured at the load connection. Data code: 40101.vLoadLN,uint16,V,Load,,Level of Detail: Complete; Equipment: Inverter; Component: Building Load; Type of Data: Readings; Unit: Volt
ss40k_inverter,40101,fLoad,fixed,fLoad,Load frequency,Measured AC frequency at the load connection point. Data code: 40101.fLoad,uint16,Hz,Load,,Level of Detail: Complete; Level of Detail: Extended; Equipment: Inverter; Component: Building Load; Type of Data: Readings; Unit: Freq
ss40k_inverter,40101,pLoadL1,fixed,pLoadL1,Load active power L1,Real power consumed by loads on phase L1. Data code: 40101.pLoadL1,uint32,W,Load,,Level of Detail: Complete; Equipment: Inverter; Component: Building Load; Type of Data: Readings; Unit: Power
ss40k_inverter,40101,qLoadL1,fixed,qLoadL1,Load reactive power L1,Reactive power on phase L1 of the load. Data code: 40101.qLoadL1,int32,Var,Load,,Level of Detail: Complete; Equipment: Inverter; Component: Building Load; Type of Data: Readings; Unit: Power
ss40k_inverter,40101,sLoadL1,fixed,sLoadL1,Load apparent power L1,Apparent power on phase L1 of the load. Data code: 40101.sLoadL1,uint32,VA,Load,,Level of Detail: Complete; Equipment: Inverter; Component: Building Load; Type of Data: Readings; Unit: Power
ss40k_inverter,40101,pfLoadL1,fixed,pfLoadL1,Load power factor L1,Phase L1 load power factor (unitless). Data code: 40101.pfLoadL1,int16,N/A,Load,,Level of Detail: Complete; Equipment: Inverter; Component: Building Load; Type of Data: Readings
ss40k_inverter,40101,iLoadL1,fixed,iLoadL1,Load current L1,RMS current of the load on phase L1. Data code: 40101.iLoadL1,uint32,A,Load,,Level of Detail: Complete; Equipment: Inverter; Component: Building Load; Type of Data: Readings; Unit: Current
ss40k_inverter,40101,vLoadL12,fixed,vLoadL12,Load voltage L1-L2,Line-to-line voltage between L1 and L2 at the load. Data code: 40101.vLoadL12,uint16,V,Load,,Level of Detail: Complete; Equipment: Inverter; Component: Building Load; Type of Data: Readings; Unit: Volt
ss40k_inverter,40101,vLoadL1N,fixed,vLoadL1N,Load voltage L1-N,Line-to-neutral voltage on L1 at the load. Data code: 40101.vLoadL1N,uint16,V,Load,,Level of Detail: Complete; Equipment: Inverter; Component: Building Load; Type of Data: Readings; Unit: Volt
ss40k_inverter,40101,pLoadL2,fixed,pLoadL2,Load active power L2,Real power consumed by loads on phase L2. Data code: 40101.pLoadL2,uint32,W,Load,,Level of Detail: Complete; Equipment: Inverter; Component: Building Load; Type of Data: Readings; Unit: Power
ss40k_inverter,40101,qLoadL2,fixed,qLoadL2,Load reactive power L2,Reactive power on phase L2 of the load. Data code: 40101.qLoadL2,int32,Var,Load,,Level of Detail: Complete; Equipment: Inverter; Component: Building Load; Type of Data: Readings; Unit: Power
ss40k_inverter,40101,sLoadL2,fixed,sLoadL2,Load apparent power L2,Apparent power on phase L2 of the load. Data code: 40101.sLoadL2,uint32,VA,Load,,Level of Detail: Complete; Equipment: Inverter; Component: Building Load; Type of Data: Readings; Unit: Power
ss40k_inverter,40101,pfLoadL2,fixed,pfLoadL2,Load power factor L2,Phase L2 load power factor (unitless). Data code: 40101.pfLoadL2,int16,N/A,Load,,Level of Detail: Complete; Equipment: Inverter; Component: Building Load; Type of Data: Readings
ss40k_inverter,40101,iLoadL2,fixed,iLoadL2,Load current L2,RMS current of the load on phase L2. Data code: 40101.iLoadL2,uint32,A,Load,,Level of Detail: Complete; Equipment: Inverter; Component: Building Load; Type of Data: Readings; Unit: Current
ss40k_inverter,40101,vLoadL23,fixed,vLoadL23,Load voltage L2-L3,Line-to-line voltage between L2 and L3 at the load. Data code: 40101.vLoadL23,uint16,V,Load,,Level of Detail: Complete; Equipment: Inverter; Component: Building Load; Type of Data: Readings; Unit: Volt
ss40k_inverter,40101,vLoadL2N,fixed,vLoadL2N,Load voltage L2-N,Line-to-neutral voltage on L2 at the load. Data code: 40101.vLoadL2N,uint16,V,Load,,Level of Detail: Complete; Equipment: Inverter; Component: Building Load; Type of Data: Readings; Unit: Volt
ss40k_inverter,40101,pLoadL3,fixed,pLoadL3,Load active power L3,Real power consumed by loads on phase L3. Data code: 40101.pLoadL3,uint32,W,Load,,Level of Detail: Complete; Equipment: Inverter; Component: Building Load; Type of Data: Readings; Unit: Power
ss40k_inverter,40101,qLoadL3,fixed,qLoadL3,Load reactive power L3,Reactive power on phase L3 of the load. Data code: 40101.qLoadL3,int32,Var,Load,,Level of Detail: Complete; Equipment: Inverter; Component: Building Load; Type of Data: Readings; Unit: Power
ss40k_inverter,40101,sLoadL3,fixed,sLoadL3,Load apparent power L3,Apparent power on phase L3 of the load. Data code: 40101.sLoadL3,uint32,VA,Load,,Level of Detail: Complete; Equipment: Inverter; Component: Building Load; Type of Data: Readings; Unit: Power
ss40k_inverter,40101,pfLoadL3,fixed,pfLoadL3,Load power factor L3,Phase L3 load power factor (unitless). Data code: 40101.pfLoadL3,int16,N/A,Load,,Level of Detail: Complete; Equipment: Inverter; Component: Building Load; Type of Data: Readings
ss40k_inverter,40101,iLoadL3,fixed,iLoadL3,Load current L3,RMS current of the load on phase L3. Data code: 40101.iLoadL3,uint32,A,Load,,Level of Detail: Complete; Equipment: Inverter; Component: Building Load; Type of Data: Readings; Unit: Current
ss40k_inverter,40101,vLoadL31,fixed,vLoadL31,Load voltage L3-L1,Line-to-line voltage between L3 and L1 at the load. Data code: 40101.vLoadL31,uint16,V,Load,,Level of Detail: Complete; Equipment: Inverter; Component: Building Load; Type of Data: Readings; Unit: Volt
ss40k_inverter,40101,vLoadL3N,fixed,vLoadL3N,Load voltage L3-N,Line-to-neutral voltage on L3 at the load. Data code: 40101.vLoadL3N,uint16,V,Load,,Level of Detail: Complete; Equipment: Inverter; Component: Building Load; Type of Data: Readings; Unit: Volt
ss40k_inverter,40101,reserved8,fixed,reserved8,Reserved,Reserved register. No current function. Data code: 40101.reserved8,string,N/A,Load,,
ss40k_inverter,40101,genDryContactState,fixed,genDryContactState,Generator Contactor Status,Value from Site Configuration Generator/Generator. Indicates the current state of the generator control contactor. Data code: 40101.genDryContactState,enum16,N/A,Generator,"{0: 'Open(Off)', 1: 'Close(On)'}",Level of Detail: Complete; Equipment: Inverter; Component: Generator; Type of Data: Readings; Type of Data: Status
ss40k_inverter,40101,genRelayStat,fixed,genRelayStat,Generator relay status,State of the generator start/transfer relay as controlled by the inverter. Data code: 40101.genRelayStat,enum16,N/A,Generator,"{0: 'Open(Off)', 1: 'Close(On)'}",Level of Detail: Complete; Level of Detail: Extended; Equipment: Inverter; Component: Generator; Type of Data: Readings; Type of Data: Status
ss40k_inverter,40101,pGenTot,fixed,pGenTot,Generator active power,Total real power delivered from the generator to the system. Data code: 40101.pGenTot,int32,W,Generator,,Level of Detail: Standard; Level of Detail: Complete; Level of Detail: Extended; Equipment: Inverter; Component: Generator; Type of Data: Readings; Unit: Power
ss40k_inverter,40101,qGenTot,fixed,qGenTot,Generator reactive power,Total reactive power measured on the generator connection. Data code: 40101.qGenTot,int32,Var,Generator,,Level of Detail: Complete; Equipment: Inverter; Component: Generator; Type of Data: Readings; Unit: Power
ss40k_inverter,40101,sGenTot,fixed,sGenTot,Generator apparent power,Total apparent power at the generator connection. Data code: 40101.sGenTot,uint32,VA,Generator,,Level of Detail: Complete; Equipment: Inverter; Component: Generator; Type of Data: Readings; Unit: Power
ss40k_inverter,40101,pfGenTot,fixed,pfGenTot,Generator power factor,Overall generator power factor (unitless). Data code: 40101.pfGenTot,int16,N/A,Generator,,Level of Detail: Complete; Equipment: Inverter; Component: Generator; Type of Data: Readings
ss40k_inverter,40101,iGenTot,fixed,iGenTot,Generator current,Sum of RMS currents across generator phases. Data code: 40101.iGenTot,int32,A,Generator,,Level of Detail: Complete; Equipment: Inverter; Component: Generator; Type of Data: Readings; Unit: Current
ss40k_inverter,40101,vGenLL,fixed,vGenLL,Voltage generator LL,Line-to-line RMS voltage at the generator connection. Data code: 40101.vGenLL,uint16,V,Generator,,Level of Detail: Complete; Equipment: Inverter; Component: Generator; Type of Data: Readings; Unit: Volt
ss40k_inverter,40101,vGenLN,fixed,vGenLN,Voltage generator LN,Line-to-neutral RMS voltage at the generator connection. Data code: 40101.vGenLN,uint16,V,Generator,,Level of Detail: Complete; Equipment: Inverter; Component: Generator; Type of Data: Readings; Unit: Volt
ss40k_inverter,40101,fGen,fixed,fGen,Generator frequency,Measured frequency of the generator output. Data code: 40101.fGen,uint16,Hz,Generator,,Level of Detail: Complete; Level of Detail: Extended; Equipment: Inverter; Component: Generator; Type of Data: Readings; Unit: Freq
ss40k_inverter,40101,pGenL1,fixed,pGenL1,Generator active power L1,Real power on generator phase L1. Data code: 40101.pGenL1,int32,W,Generator,,Level of Detail: Extended; Level of Detail: Complete; Equipment: Inverter; Component: Generator; Type of Data: Readings; Unit: Power
ss40k_inverter,40101,qGenL1,fixed,qGenL1,Generator reactive power L1,Reactive power on generator phase L1. Data code: 40101.qGenL1,int32,Var,Generator,,Level of Detail: Complete; Equipment: Inverter; Component: Generator; Type of Data: Readings; Unit: Power
ss40k_inverter,40101,sGenL1,fixed,sGenL1,Generator apparent power L1,Apparent power on generator phase L1. Data code: 40101.sGenL1,uint32,VA,Generator,,Level of Detail: Complete; Equipment: Inverter; Component: Generator; Type of Data: Readings; Unit: Power
ss40k_inverter,40101,pfGenL1,fixed,pfGenL1,Generator power factor L1,Phase L1 generator power factor (unitless). Data code: 40101.pfGenL1,int16,N/A,Generator,,Level of Detail: Complete; Equipment: Inverter; Component: Generator; Type of Data: Readings
ss40k_inverter,40101,iGenL1,fixed,iGenL1,Generator current L1,RMS current on generator phase L1. Data code: 40101.iGenL1,int32,A,Generator,,Level of Detail: Complete; Equipment: Inverter; Component: Generator; Type of Data: Readings; Unit: Current
ss40k_inverter,40101,vGenL12,fixed,vGenL12,Generator voltage L1-L2,Line-to-line voltage between generator phases L1 and L2. Data code: 40101.vGenL12,uint16,V,Generator,,Level of Detail: Complete; Level of Detail: Extended; Equipment: Inverter; Component: Generator; Type of Data: Readings; Unit: Volt
ss40k_inverter,40101,vGenL1N,fixed,vGenL1N,Generator voltage L1-N,Line-to-neutral voltage on generator phase L1. Data code: 40101.vGenL1N,uint16,V,Generator,,Level of Detail: Complete; Equipment: Inverter; Component: Generator; Type of Data: Readings; Unit: Volt
ss40k_inverter,40101,pGenL2,fixed,pGenL2,Generator active power L2,Real power on generator phase L2. Data code: 40101.pGenL2,int32,W,Generator,,Level of Detail: Extended; Level of Detail: Complete; Equipment: Inverter; Component: Generator; Type of Data: Readings; Unit: Power
ss40k_inverter,40101,qGenL2,fixed,qGenL2,Generator reactive power L2,Reactive power on generator phase L2. Data code: 40101.qGenL2,int32,Var,Generator,,Level of Detail: Complete; Equipment: Inverter; Component: Generator; Type of Data: Readings; Unit: Power
ss40k_inverter,40101,sGenL2,fixed,sGenL2,Generator apparent power L2,Apparent power on generator phase L2. Data code: 40101.sGenL2,uint32,VA,Generator,,Level of Detail: Complete; Equipment: Inverter; Component: Generator; Type of Data: Readings; Unit: Power
ss40k_inverter,40101,pfGenL2,fixed,pfGenL2,Generator power factor L2,Phase L2 generator power factor (unitless). Data code: 40101.pfGenL2,int16,N/A,Generator,,Level of Detail: Complete; Equipment: Inverter; Component: Generator; Type of Data: Readings
ss40k_inverter,40101,iGenL2,fixed,iGenL2,Generator current L2,RMS current on generator phase L2. Data code: 40101.iGenL2,int32,A,Generator,,Level of Detail: Complete; Equipment: Inverter; Component: Generator; Type of Data: Readings; Unit: Current
ss40k_inverter,40101,vGenL23,fixed,vGenL23,Generator voltage L2-L3,Line-to-line voltage between generator phases L2 and L3. Data code: 40101.vGenL23,uint16,V,Generator,,Level of Detail: Complete; Equipment: Inverter; Component: Generator; Type of Data: Readings; Unit: Volt
ss40k_inverter,40101,vGenL2N,fixed,vGenL2N,Generator voltage L2-N,Line-to-neutral voltage on generator phase L2. Data code: 40101.vGenL2N,uint16,V,Generator,,Level of Detail: Complete; Equipment: Inverter; Component: Generator; Type of Data: Readings; Unit: Volt
ss40k_inverter,40101,pGenL3,fixed,pGenL3,Generator active power L3,Real power on generator phase L3. Data code: 40101.pGenL3,int32,W,Generator,,Level of Detail: Extended; Level of Detail: Complete; Equipment: Inverter; Component: Generator; Type of Data: Readings; Unit: Power
ss40k_inverter,40101,qGenL3,fixed,qGenL3,Generator reactive power L3,Reactive power on generator phase L3. Data code: 40101.qGenL3,int32,Var,Generator,,Level of Detail: Complete; Equipment: Inverter; Component: Generator; Type of Data: Readings; Unit: Power
ss40k_inverter,40101,sGenL3,fixed,sGenL3,Generator apparent power L3,Apparent power on generator phase L3. Data code: 40101.sGenL3,uint32,VA,Generator,,Level of Detail: Complete; Equipment: Inverter; Component: Generator; Type of Data: Readings; Unit: Power
ss40k_inverter,40101,pfGenL3,fixed,pfGenL3,Generator power factor L3,Phase L3 generator power factor (unitless). Data code: 40101.pfGenL3,int16,N/A,Generator,,Level of Detail: Complete; Equipment: Inverter; Component: Generator; Type of Data: Readings
ss40k_inverter,40101,iGenL3,fixed,iGenL3,Generator current L3,RMS current on generator phase L3. Data code: 40101.iGenL3,int32,A,Generator,,Level of Detail: Complete; Equipment: Inverter; Component: Generator; Type of Data: Readings; Unit: Current
ss40k_inverter,40101,vGenL31,fixed,vGenL31,Generator voltage L3-L1,Line-to-line voltage between generator phases L3 and L1. Data code: 40101.vGenL31,uint16,V,Generator,,Level of Detail: Complete; Equipment: Inverter; Component: Generator; Type of Data: Readings; Unit: Volt
ss40k_inverter,40101,vGenL3N,fixed,vGenL3N,Generator voltage L3-N,Line-to-neutral voltage on generator phase L3. Data code: 40101.vGenL3N,uint16,V,Generator,,Level of Detail: Complete; Equipment: Inverter; Component: Generator; Type of Data: Readings; Unit: Volt
ss40k_inverter,40101,genActFlg,fixed,genActFlg,Generator Input Active,"Indicates whether the generator input is active. The generator is ""Activated"" when the port is configured as a generator and voltage greater than 100 Vac is detected; otherwise it is, “Not active.” Data code: 40101.genActFlg",enum16,N/A,Generator,"{0: 'Not activated', 1: 'Activated'}",Level of Detail: Complete; Equipment: Inverter; Component: Generator; Type of Data: Readings; Type of Data: Status
ss40k_inverter,40101,reserved9,fixed,reserved9,Reserved,Reserved register. No current function. Data code: 40101.reserved9,string,N/A,Generator,,
ss40k_inverter,40101,pAcCplTot,fixed,pAcCplTot,AC couple active power,Total real power measured for AC-coupled input. Data code: 40101.pAcCplTot,int32,W,AC Couple,,Level of Detail: Standard; Level of Detail: Complete; Level of Detail: Extended; Equipment: Inverter; Component: PV-AC Couple; Type of Data: Readings; Unit: Power
ss40k_inverter,40101,qAcCplTot,fixed,qAcCplTot,AC couple reactive power,Total reactive power measured for AC-coupled input. Data code: 40101.qAcCplTot,int32,Var,AC Couple,,Level of Detail: Complete; Equipment: Inverter; Component: PV-AC Couple; Type of Data: Readings; Unit: Power
ss40k_inverter,40101,sAcCplTot,fixed,sAcCplTot,AC couple apparent power,Total apparent power measured for AC-coupled input. Data code: 40101.sAcCplTot,uint32,VA,AC Couple,,Level of Detail: Complete; Equipment: Inverter; Component: PV-AC Couple; Type of Data: Readings; Unit: Power
ss40k_inverter,40101,pfAcCplTot,fixed,pfAcCplTot,AC couple power factor,Overall power factor for AC-coupled input. Data code: 40101.pfAcCplTot,int16,N/A,AC Couple,,Level of Detail: Complete; Equipment: Inverter; Component: PV-AC Couple; Type of Data: Readings
ss40k_inverter,40101,iAcCplTot,fixed,iAcCplTot,AC couple current,Sum of RMS currents across AC-coupled phases. Data code: 40101.iAcCplTot,int32,A,AC Couple,,Level of Detail: Complete; Equipment: Inverter; Component: PV-AC Couple; Type of Data: Readings; Unit: Current
ss40k_inverter,40101,vAcCplLL,fixed,vAcCplLL,AC couple voltage LL,Line-to-line RMS voltage at the AC-coupled input. Data code: 40101.vAcCplLL,uint16,V,AC Couple,,Level of Detail: Complete; Equipment: Inverter; Component: PV-AC Couple; Type of Data: Readings; Unit: Volt
ss40k_inverter,40101,vAcCplLN,fixed,vAcCplLN,AC couple voltage LN,Line-to-neutral RMS voltage at the AC-coupled input. Data code: 40101.vAcCplLN,uint16,V,AC Couple,,Level of Detail: Complete; Equipment: Inverter; Component: PV-AC Couple; Type of Data: Readings; Unit: Volt
ss40k_inverter,40101,fAcCpl,fixed,fAcCpl,AC couple frequency,Measured AC frequency at the AC-coupled input. Data code: 40101.fAcCpl,uint16,Hz,AC Couple,,Level of Detail: Complete; Equipment: Inverter; Component: PV-AC Couple; Type of Data: Readings; Unit: Freq
ss40k_inverter,40101,pAcCplL1,fixed,pAcCplL1,AC couple active power L1,Real power on AC-coupled phase L1. Data code: 40101.pAcCplL1,int32,W,AC Couple,,Level of Detail: Complete; Equipment: Inverter; Component: PV-AC Couple; Type of Data: Readings; Unit: Power
ss40k_inverter,40101,qAcCplL1,fixed,qAcCplL1,AC couple reactive power L1,Reactive power on AC-coupled phase L1. Data code: 40101.qAcCplL1,int32,Var,AC Couple,,Level of Detail: Complete; Equipment: Inverter; Component: PV-AC Couple; Type of Data: Readings; Unit: Power
ss40k_inverter,40101,sAcCplL1,fixed,sAcCplL1,AC couple apparent power L1,Apparent power on AC-coupled phase L1. Data code: 40101.sAcCplL1,uint32,VA,AC Couple,,Level of Detail: Complete; Equipment: Inverter; Component: PV-AC Couple; Type of Data: Readings; Unit: Power
ss40k_inverter,40101,pfAcCplL1,fixed,pfAcCplL1,AC couple power factor L1,Power factor on AC-coupled phase L1. Data code: 40101.pfAcCplL1,int16,N/A,AC Couple,,Level of Detail: Complete; Equipment: Inverter; Component: PV-AC Couple; Type of Data: Readings
ss40k_inverter,40101,iAcCplL1,fixed,iAcCplL1,AC couple current L1,RMS current on AC-coupled phase L1. Data code: 40101.iAcCplL1,int32,A,AC Couple,,Level of Detail: Complete; Equipment: Inverter; Component: PV-AC Couple; Type of Data: Readings; Unit: Current
ss40k_inverter,40101,vAcCplL12,fixed,vAcCplL12,AC couple voltage L1-L2,Line-to-line voltage between L1 and L2 at the AC-coupled input. Data code: 40101.vAcCplL12,uint16,V,AC Couple,,Level of Detail: Complete; Equipment: Inverter; Component: PV-AC Couple; Type of Data: Readings; Unit: Volt
ss40k_inverter,40101,vAcCplL1N,fixed,vAcCplL1N,AC couple voltage L1-N,Line-to-neutral voltage on phase L1 at the AC-coupled input. Data code: 40101.vAcCplL1N,uint16,V,AC Couple,,Level of Detail: Complete; Equipment: Inverter; Component: PV-AC Couple; Type of Data: Readings; Unit: Volt
ss40k_inverter,40101,pAcCplL2,fixed,pAcCplL2,AC couple active power L2,Real power on AC-coupled phase L2. Data code: 40101.pAcCplL2,int32,W,AC Couple,,Level of Detail: Complete; Equipment: Inverter; Component: PV-AC Couple; Type of Data: Readings; Unit: Power
ss40k_inverter,40101,qAcCplL2,fixed,qAcCplL2,AC couple reactive power L2,Reactive power on AC-coupled phase L2. Data code: 40101.qAcCplL2,int32,Var,AC Couple,,Level of Detail: Complete; Equipment: Inverter; Component: PV-AC Couple; Type of Data: Readings; Unit: Power
ss40k_inverter,40101,sAcCplL2,fixed,sAcCplL2,AC couple apparent power L2,Apparent power on AC-coupled phase L2. Data code: 40101.sAcCplL2,uint32,VA,AC Couple,,Level of Detail: Complete; Equipment: Inverter; Component: PV-AC Couple; Type of Data: Readings; Unit: Power
ss40k_inverter,40101,pfAcCplL2,fixed,pfAcCplL2,AC couple power factor L2,Power factor on AC-coupled phase L2. Data code: 40101.pfAcCplL2,int16,N/A,AC Couple,,Level of Detail: Complete; Equipment: Inverter; Component: PV-AC Couple; Type of Data: Readings
ss40k_inverter,40101,iAcCplL2,fixed,iAcCplL2,AC couple current L2,RMS current on AC-coupled phase L2. Data code: 40101.iAcCplL2,int32,A,AC Couple,,Level of Detail: Complete; Equipment: Inverter; Component: PV-AC Couple; Type of Data: Readings; Unit: Current
ss40k_inverter,40101,vAcCplL23,fixed,vAcCplL23,AC couple voltage L2-L3,Line-to-line voltage between L2 and L3 at the AC-coupled input. Data code: 40101.vAcCplL23,uint16,V,AC Couple,,Level of Detail: Complete; Equipment: Inverter; Component: PV-AC Couple; Type of Data: Readings; Unit: Volt
ss40k_inverter,40101,vAcCplL2N,fixed,vAcCplL2N,AC couple voltage L2-N,Line-to-neutral voltage on phase L2 at the AC-coupled input. Data code: 40101.vAcCplL2N,uint16,V,AC Couple,,Level of Detail: Complete; Equipment: Inverter; Component: PV-AC Couple; Type of Data: Readings; Unit: Volt
ss40k_inverter,40101,pAcCplL3,fixed,pAcCplL3,AC couple active power L3,Real power on AC-coupled phase L3. Data code: 40101.pAcCplL3,int32,W,AC Couple,,Level of Detail: Complete; Equipment: Inverter; Component: PV-AC Couple; Type of Data: Readings; Unit: Power
ss40k_inverter,40101,qAcCplL3,fixed,qAcCplL3,AC couple reactive power L3,Reactive power on AC-coupled phase L3. Data code: 40101.qAcCplL3,int32,Var,AC Couple,,Level of Detail: Complete; Equipment: Inverter; Component: PV-AC Couple; Type of Data: Readings; Unit: Power
ss40k_inverter,40101,sAcCplL3,fixed,sAcCplL3,AC couple apparent power L3,Apparent power on AC-coupled phase L3. Data code: 40101.sAcCplL3,uint32,VA,AC Couple,,Level of Detail: Complete; Equipment: Inverter; Component: PV-AC Couple; Type of Data: Readings; Unit: Power
ss40k_inverter,40101,pfAcCplL3,fixed,pfAcCplL3,AC couple power factor L3,Power factor on AC-coupled phase L3. Data code: 40101.pfAcCplL3,int16,N/A,AC Couple,,Level of Detail: Complete; Equipment: Inverter; Component: PV-AC Couple; Type of Data: Readings
ss40k_inverter,40101,iAcCplL3,fixed,iAcCplL3,AC couple current L3,RMS current on AC-coupled phase L3. Data code: 40101.iAcCplL3,int32,A,AC Couple,,Level of Detail: Complete; Equipment: Inverter; Component: PV-AC Couple; Type of Data: Readings; Unit: Current
ss40k_inverter,40101,vAcCplL31,fixed,vAcCplL31,AC couple voltage L3-L1,Line-to-line voltage between L3 and L1 at the AC-coupled input. Data code: 40101.vAcCplL31,uint16,V,AC Couple,,Level of Detail: Complete; Equipment: Inverter; Component: PV-AC Couple; Type of Data: Readings; Unit: Volt
ss40k_inverter,40101,vAcCplL3N,fixed,vAcCplL3N,AC couple voltage L3-N,Line-to-neutral voltage on phase L3 at the AC-coupled input. Data code: 40101.vAcCplL3N,uint16,V,AC Couple,,Level of Detail: Complete; Equipment: Inverter; Component: PV-AC Couple; Type of Data: Readings; Unit: Volt
ss40k_inverter,40101,acCplActFlg,fixed,acCplActFlg,AC Couple active flag,Indicates whether AC-coupled functionality is enabled. Data code: 40101.acCplActFlg,enum16,N/A,AC Couple,"{0: 'Not activated', 1: 'Activated'}",Level of Detail: Complete; Equipment: Inverter; Component: PV-AC Couple; Type of Data: Readings; Type of Data: Status
ss40k_inverter,40101,reserved10,fixed,reserved10,Reserved,Reserved register. Data code: 40101.reserved10,string,N/A,AC Couple,,
ss40k_inverter,40101,pSmartloadTot,fixed,pSmartloadTot,Smart load active power,Total real power measured for smart load. Data code: 40101.pSmartloadTot,int32,W,Smart Load,,Level of Detail: Complete; Equipment: Inverter; Component: Smart Load; Type of Data: Readings; Unit: Power
ss40k_inverter,40101,qSmartloadTot,fixed,qSmartloadTot,Smart load reactive power,Total reactive power measured for smart load. Data code: 40101.qSmartloadTot,int32,Var,Smart Load,,Level of Detail: Complete; Equipment: Inverter; Component: Smart Load; Type of Data: Readings; Unit: Power
ss40k_inverter,40101,sSmartloadTot,fixed,sSmartloadTot,Smart load apparent power,Total apparent power measured for smart load. Data code: 40101.sSmartloadTot,uint32,VA,Smart Load,,Level of Detail: Complete; Equipment: Inverter; Component: Smart Load; Type of Data: Readings; Unit: Power
ss40k_inverter,40101,pfSmartloadTot,fixed,pfSmartloadTot,Smart load power factor,Overall power factor for smart load. Data code: 40101.pfSmartloadTot,int16,N/A,Smart Load,,Level of Detail: Complete; Equipment: Inverter; Component: Smart Load; Type of Data: Readings
ss40k_inverter,40101,iSmartloadTot,fixed,iSmartloadTot,Smart load current,Sum of RMS currents across smart-load phases. Data code: 40101.iSmartloadTot,int32,A,Smart Load,,Level of Detail: Complete; Equipment: Inverter; Component: Smart Load; Type of Data: Readings; Unit: Current
ss40k_inverter,40101,vSmartloadLL,fixed,vSmartloadLL,Smart load voltage LL,Line-to-line RMS voltage at the smart-load connection. Data code: 40101.vSmartloadLL,uint16,V,Smart Load,,Level of Detail: Complete; Equipment: Inverter; Component: Smart Load; Type of Data: Readings; Unit: Volt
ss40k_inverter,40101,vSmartloadLN,fixed,vSmartloadLN,Smart load voltage LN,Line-to-neutral RMS voltage at the smart-load connection. Data code: 40101.vSmartloadLN,uint16,V,Smart Load,,Level of Detail: Complete; Equipment: Inverter; Component: Smart Load; Type of Data: Readings; Unit: Volt
ss40k_inverter,40101,fSmartload,fixed,fSmartload,Smart load frequency,Measured AC frequency at the smart-load connection. Data code: 40101.fSmartload,uint16,Hz,Smart Load,,Level of Detail: Complete; Equipment: Inverter; Component: Smart Load; Type of Data: Readings; Unit: Freq
ss40k_inverter,40101,pSmartloadL1,fixed,pSmartloadL1,Smart load active power L1,Real power on smart-load phase L1. Data code: 40101.pSmartloadL1,int32,W,Smart Load,,Level of Detail: Complete; Equipment: Inverter; Component: Smart Load; Type of Data: Readings; Unit: Power
ss40k_inverter,40101,qSmartloadL1,fixed,qSmartloadL1,Smart load reactive power L1,Reactive power on smart-load phase L1. Data code: 40101.qSmartloadL1,int32,Var,Smart Load,,Level of Detail: Complete; Equipment: Inverter; Component: Smart Load; Type of Data: Readings; Unit: Power
ss40k_inverter,40101,sSmartloadL1,fixed,sSmartloadL1,Smart load apparent power L1,Apparent power on smart-load phase L1. Data code: 40101.sSmartloadL1,uint32,VA,Smart Load,,Level of Detail: Complete; Equipment: Inverter; Component: Smart Load; Type of Data: Readings; Unit: Power
ss40k_inverter,40101,pfSmartloadL1,fixed,pfSmartloadL1,Smart load power factor L1,Power factor on smart-load phase L1. Data code: 40101.pfSmartloadL1,int16,N/A,Smart Load,,Level of Detail: Complete; Equipment: Inverter; Component: Smart Load; Type of Data: Readings
ss40k_inverter,40101,iSmartloadL1,fixed,iSmartloadL1,Smart load current L1,RMS current on smart-load phase L1. Data code: 40101.iSmartloadL1,int32,A,Smart Load,,Level of Detail: Complete; Equipment: Inverter; Component: Smart Load; Type of Data: Readings; Unit: Current
ss40k_inverter,40101,vSmartloadL12,fixed,vSmartloadL12,Smart load voltage L1-L2,Line-to-line voltage between L1 and L2 at the smart-load connection. Data code: 40101.vSmartloadL12,uint16,V,Smart Load,,Level of Detail: Complete; Equipment: Inverter; Component: Smart Load; Type of Data: Readings; Unit: Volt
ss40k_inverter,40101,vSmartloadL1N,fixed,vSmartloadL1N,Smart load voltage L1-N,Line-to-neutral voltage on phase L1 at the smart-load connection. Data code: 40101.vSmartloadL1N,uint16,V,Smart Load,,Level of Detail: Complete; Equipment: Inverter; Component: Smart Load; Type of Data: Readings; Unit: Volt
